汇报家族,建模细分家族,核心样品数,总库同标签样品数,精确host化学式数,独立DOI数,独立连续系列数,PL最小值_nm,PL中位数_nm,PL最大值_nm,严格PL/PLE对子数,晶格覆盖数,A-O覆盖数,AO8体积覆盖数,畸变指数覆盖数,已处理DOI,待下载论文数,候选DOI,当前等级,优先路线,目标样品数,目标DOI数,目标连续系列数,样品缺口,DOI缺口,连续系列缺口,数据库版本,最后核验日期,record_type,family,doi,sample_rows,families
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1364/OE.417464,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.ceramint.2024.04.274,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1007/s40145-019-0321-9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.37188/CJL.20220435,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.jeurceramsoc.2017.05.024,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.ceramint.2026.03.410,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1039/D0TC04231E,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.ceramint.2017.04.047,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.optmat.2018.11.031,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.jeurceramsoc.2020.03.019,3.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.jallcom.2021.161687,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1557/jmr.2014.229,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.2109/jcersj2.15239,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1039/C8TC03866J,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1111/jace.14461,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1143/APEX.4.042602,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.optmat.2010.06.005,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1021/acsami.9b02703,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1111/jace.16776,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GLMS,10.1016/j.ceramint.2019.08.025,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.37188/CJL.20220248,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1364/OE.417464,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.ceramint.2024.04.274,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1007/s40145-019-0321-9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.37188/CJL.20220435,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.jeurceramsoc.2017.05.024,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.ceramint.2026.03.410,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1039/D0TC04231E,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.ceramint.2017.04.047,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.optmat.2018.11.031,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.jeurceramsoc.2020.03.019,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.jallcom.2021.161687,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1557/jmr.2014.229,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.2109/jcersj2.15239,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1039/C8TC03866J,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1111/jace.14461,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1143/APEX.4.042602,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.optmat.2010.06.005,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1021/acsami.9b02703,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1111/jace.16776,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,"(Lu,Y)AG",10.1016/j.ceramint.2019.08.025,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.37188/CJL.20220248,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1364/OE.417464,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.ceramint.2024.04.274,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1007/s40145-019-0321-9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.37188/CJL.20220435,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.jeurceramsoc.2017.05.024,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.ceramint.2026.03.410,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1039/D0TC04231E,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.ceramint.2017.04.047,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.optmat.2018.11.031,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.jeurceramsoc.2020.03.019,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.jallcom.2021.161687,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1557/jmr.2014.229,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.2109/jcersj2.15239,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1039/C8TC03866J,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1111/jace.14461,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1143/APEX.4.042602,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.optmat.2010.06.005,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1021/acsami.9b02703,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1111/jace.16776,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuYSAG,10.1016/j.ceramint.2019.08.025,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.37188/CJL.20220248,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1364/OE.417464,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.ceramint.2024.04.274,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1007/s40145-019-0321-9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.37188/CJL.20220435,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.jeurceramsoc.2017.05.024,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.ceramint.2026.03.410,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1039/D0TC04231E,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.ceramint.2017.04.047,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.optmat.2018.11.031,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.jeurceramsoc.2020.03.019,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.jallcom.2021.161687,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1557/jmr.2014.229,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.2109/jcersj2.15239,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1039/C8TC03866J,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1111/jace.14461,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1143/APEX.4.042602,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.optmat.2010.06.005,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1021/acsami.9b02703,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1111/jace.16776,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GSAG,10.1016/j.ceramint.2019.08.025,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.37188/CJL.20220248,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1364/OE.417464,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.ceramint.2024.04.274,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1007/s40145-019-0321-9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.37188/CJL.20220435,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.jeurceramsoc.2017.05.024,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.ceramint.2026.03.410,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1039/D0TC04231E,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.ceramint.2017.04.047,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.optmat.2018.11.031,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.jeurceramsoc.2020.03.019,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.jallcom.2021.161687,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1557/jmr.2014.229,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.2109/jcersj2.15239,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1039/C8TC03866J,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1111/jace.14461,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1143/APEX.4.042602,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.optmat.2010.06.005,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1021/acsami.9b02703,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1111/jace.16776,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,CSS,10.1016/j.ceramint.2019.08.025,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.37188/CJL.20220248,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.jeurceramsoc.2024.04.014,8.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1364/OE.417464,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.ceramint.2024.04.274,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1007/s40145-019-0321-9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.37188/CJL.20220435,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.jeurceramsoc.2017.05.024,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.ceramint.2026.03.410,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1039/D0TC04231E,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.ceramint.2017.04.047,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.optmat.2018.11.031,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.jeurceramsoc.2020.03.019,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.jallcom.2021.161687,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1557/jmr.2014.229,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.2109/jcersj2.15239,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1039/C8TC03866J,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1111/jace.14461,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1143/APEX.4.042602,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.optmat.2010.06.005,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1021/acsami.9b02703,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1111/jace.16776,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuGdAG,10.1016/j.ceramint.2019.08.025,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.37188/CJL.20220248,10.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1364/OE.417464,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.ceramint.2024.04.274,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1007/s40145-019-0321-9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.37188/CJL.20220435,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.jeurceramsoc.2017.05.024,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.ceramint.2026.03.410,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1039/D0TC04231E,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.ceramint.2017.04.047,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.optmat.2018.11.031,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.jeurceramsoc.2020.03.019,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.jallcom.2021.161687,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1557/jmr.2014.229,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.2109/jcersj2.15239,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1039/C8TC03866J,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1111/jace.14461,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1143/APEX.4.042602,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.optmat.2010.06.005,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1021/acsami.9b02703,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1111/jace.16776,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAG solid solution,10.1016/j.ceramint.2019.08.025,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.37188/CJL.20220248,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1364/OE.417464,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.ceramint.2024.04.274,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1007/s40145-019-0321-9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.37188/CJL.20220435,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.jeurceramsoc.2017.05.024,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.ceramint.2026.03.410,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1039/D0TC04231E,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.ceramint.2017.04.047,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.optmat.2018.11.031,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.jeurceramsoc.2020.03.019,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.jallcom.2021.161687,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1557/jmr.2014.229,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.2109/jcersj2.15239,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1039/C8TC03866J,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1111/jace.14461,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1143/APEX.4.042602,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.optmat.2010.06.005,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1021/acsami.9b02703,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1111/jace.16776,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,LuAGG,10.1016/j.ceramint.2019.08.025,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1016/j.jeurceramsoc.2021.03.022,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.37188/CJL.20220248,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1016/j.optmat.2023.114697,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1016/j.ceramint.2016.01.079,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1364/OME.5.002902,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1016/j.jeurceramsoc.2024.04.014,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1364/OE.417464,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1016/j.ceramint.2019.04.162,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1016/j.ceramint.2024.04.274,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,family_doi,GAGG,10.1007/s40145-019-0321-9,0.0,
